HPF_ID,teff,std teff,logg,std logg,feh,std feh,vsini,std vsini,max_period_1_gls,max_period_1_gls_fap
1,3471,64,4.803,0.022,-0.017,0.093,1.36,0.41,11.55,1.00
2,3080,0,5.050,0.000,-0.160,0.000,0.24,0.12,24.54,1.00
3,3375,33,4.880,0.013,-0.068,0.018,1.00,0.74,12.46,0.00
4,3325,28,4.830,0.058,-0.016,0.078,8.15,0.90,0.90,0.00
5,3262,28,4.959,0.027,-0.156,0.043,9.33,2.11,1.32,0.00
6,3080,0,5.050,0.000,-0.160,0.000,7.94,0.53,25.99,0.00
7,3320,71,4.954,0.098,-0.176,0.130,7.27,1.03,4.61,0.00
8,3101,21,5.049,0.019,-0.160,0.022,12.10,0.57,0.28,0.00
9,3147,15,5.060,0.024,-0.218,0.036,0.24,0.06,12.97,1.00
10,3405,0,4.850,0.000,-0.100,0.000,0.30,0.13,4.74,1.00
11,3080,0,5.050,0.000,-0.160,0.000,6.91,0.20,0.46,0.00
12,3186,18,5.063,0.044,-0.254,0.078,0.23,0.12,6.13,1.00
13,3225,14,5.056,0.030,-0.281,0.044,1.21,0.25,4.90,1.00
14,3080,0,5.050,0.000,-0.160,0.000,4.56,0.30,0.26,0.00
15,3311,15,4.894,0.029,-0.022,0.057,0.43,0.48,5.01,1.00
16,3293,3,4.928,0.005,-0.117,0.001,1.00,0.20,2.72,1.00
17,3448,0,4.880,0.000,-0.020,0.000,0.35,0.10,0.17,1.00
18,3369,75,4.940,0.041,-0.124,0.076,5.23,0.86,5.26,0.00
19,3320,3,4.890,0.002,-0.093,0.012,0.46,0.26,4.89,1.00
20,3239,11,5.029,0.038,-0.243,0.064,2.05,0.44,8.15,1.00
21,3100,22,5.050,0.028,-0.161,0.051,0.15,0.11,5.84,1.00
22,4952,708,4.570,0.122,-0.368,0.162,20.00,0.00,0.28,0.00
23,3080,0,5.050,0.000,-0.160,0.000,0.21,0.11,7.81,1.00
24,3080,0,5.050,0.000,-0.160,0.000,0.29,0.62,0.72,0.86
25,3133,37,5.030,0.033,-0.172,0.024,9.97,0.80,0.84,0.00
26,3280,24,4.942,0.030,-0.101,0.049,1.09,0.40,4.16,1.00
27,3179,26,5.018,0.030,-0.189,0.061,6.88,0.33,1.81,1.00
28,3218,33,5.070,0.034,-0.285,0.046,10.10,0.31,0.32,1.00
29,3083,20,5.050,0.006,-0.160,0.021,11.37,0.16,0.61,1.00
30,3298,20,4.870,0.027,-0.016,0.041,1.90,0.40,1.12,1.00
31,3102,69,5.050,0.056,-0.160,0.103,0.26,0.07,4.81,1.00
32,3080,0,5.050,0.000,-0.160,0.000,6.79,0.52,0.41,0.00
33,3385,35,4.860,0.023,0.018,0.075,1.11,0.20,13.24,1.00
34,3080,21,5.050,0.020,-0.160,0.015,12.94,0.55,0.38,0.00
35,3283,9,4.921,0.022,-0.069,0.052,0.48,0.19,5.30,1.00
36,3080,0,5.050,0.000,-0.160,0.000,0.26,0.12,4.74,0.00
37,3093,25,5.052,0.006,-0.173,0.028,15.95,0.65,0.52,0.00
38,3445,25,4.817,0.013,0.015,0.033,1.63,0.30,5.28,1.00
39,3416,0,4.830,0.000,0.040,0.000,0.31,0.03,13.29,1.00
40,3373,74,4.850,0.036,-0.076,0.047,1.33,0.20,11.96,1.00
41,3407,0,4.900,0.000,-0.490,0.000,0.31,0.08,3.43,0.64
42,3346,54,4.892,0.052,-0.191,0.146,1.88,0.48,5.11,0.00
43,3355,54,4.820,0.013,0.122,0.069,1.89,0.24,0.60,1.00
44,3080,1,5.050,0.001,-0.160,0.002,0.26,0.11,7.01,1.00
45,3080,1,5.050,0.000,-0.160,0.001,0.27,0.08,3.78,0.03
46,3080,4,5.050,0.001,-0.160,0.004,0.30,0.14,5.30,1.00
47,3125,17,5.054,0.032,-0.187,0.062,0.24,0.04,4.67,0.00
48,3080,0,5.050,0.000,-0.160,0.000,0.28,0.11,6.80,1.00
49,4951,622,4.540,0.109,-0.431,0.215,20.00,0.00,4.59,0.00
50,3080,0,5.050,0.000,-0.160,0.000,6.68,1.21,0.57,0.00
51,3080,0,5.050,0.000,-0.160,0.000,6.11,1.71,0.37,0.00
52,3080,0,5.050,0.000,-0.160,0.000,0.28,0.05,12.47,0.04
53,3115,29,5.050,0.028,-0.160,0.048,0.21,0.13,21.77,0.00
54,3080,76,5.050,0.050,-0.160,0.027,0.31,1.00,0.66,0.00
55,3302,14,4.887,0.023,-0.030,0.051,0.41,0.67,4.82,0.00
56,3239,24,5.030,0.066,-0.223,0.123,0.26,0.06,4.40,1.00
57,5016,717,4.522,0.159,-0.088,0.208,20.00,0.00,0.15,0.00
58,3080,0,5.050,0.000,-0.160,0.000,0.29,0.07,13.43,0.00
59,3289,35,5.016,0.070,-0.244,0.105,2.89,0.68,7.20,1.00
60,3080,0,5.050,0.000,-0.160,0.000,0.23,0.10,6.23,0.89
61,3339,18,4.894,0.028,-0.088,0.054,0.97,0.32,7.87,1.00
62,3525,65,4.833,0.047,-0.226,0.130,2.20,1.46,5.24,1.00
63,3339,7,4.878,0.012,-0.033,0.033,0.62,0.25,4.60,1.00
64,3309,47,4.953,0.032,-0.063,0.097,1.21,0.31,7.12,0.04
65,3315,17,4.829,0.021,0.096,0.059,0.73,0.21,13.59,0.00
66,3122,22,5.034,0.021,-0.154,0.047,4.41,0.96,1.97,0.00
67,3142,25,5.018,0.021,-0.151,0.043,2.93,0.48,14.95,0.00
68,5010,610,4.561,0.132,-0.166,0.238,20.00,0.00,6.62,0.00
69,3146,26,5.025,0.043,-0.151,0.069,7.67,1.05,2.72,0.00
70,3640,58,4.794,0.019,-0.307,0.089,1.64,0.39,,
71,3383,48,4.925,0.036,-0.075,0.085,1.71,0.49,,
72,3080,17,5.050,0.017,-0.160,0.031,0.30,0.02,,
73,3118,26,5.052,0.038,-0.172,0.071,0.15,0.09,,
74,3183,21,5.062,0.039,-0.246,0.069,0.22,0.11,,
75,3106,36,5.026,0.035,-0.142,0.025,18.62,0.79,,
76,5148,404,4.552,0.072,-0.168,0.216,20.00,0.00,,
77,3400,18,4.873,0.006,-0.069,0.009,1.19,0.31,,
78,3167,12,5.061,0.013,-0.234,0.019,0.64,0.27,,
79,3080,12,5.050,0.011,-0.160,0.021,0.27,0.10,,
80,3080,0,5.050,0.000,-0.160,0.000,0.30,0.04,,
81,3216,21,4.944,0.037,-0.108,0.059,12.57,1.95,,
82,3080,0,5.050,0.000,-0.160,0.000,0.27,0.11,,
83,3080,13,5.050,0.010,-0.160,0.020,0.06,0.14,,
84,3319,71,4.920,0.068,-0.102,0.090,5.42,0.67,,
85,3372,38,4.853,0.053,-0.155,0.039,5.65,0.51,,
86,3080,0,5.050,0.000,-0.160,0.000,0.25,0.25,,
87,3521,30,4.849,0.018,-0.387,0.034,1.62,0.32,,
88,5102,429,4.536,0.078,-0.031,0.222,20.00,0.00,,
89,3080,0,5.050,0.000,-0.160,0.000,0.26,0.18,,
90,3080,0,5.050,0.000,-0.160,0.000,0.25,0.23,,
91,3080,13,5.050,0.011,-0.160,0.014,0.26,0.04,,
92,3143,26,5.053,0.044,-0.187,0.085,0.21,0.11,,
93,3263,9,4.978,0.016,-0.180,0.032,1.44,0.22,,
94,3080,0,5.050,0.000,-0.160,0.000,0.28,0.05,,
95,3287,12,4.922,0.018,-0.094,0.025,1.37,0.45,,
96,3080,0,5.050,0.000,-0.160,0.000,4.98,0.29,,
97,3430,19,4.870,0.008,-0.058,0.024,1.84,0.29,,
98,3080,0,5.050,0.000,-0.160,0.000,11.06,0.38,,
99,3080,4,5.050,0.001,-0.160,0.004,0.20,0.11,,
100,3080,0,5.050,0.000,-0.160,0.001,0.29,0.10,,
101,3187,64,4.977,0.026,-0.159,0.051,3.45,0.63,,
102,3138,44,5.030,0.040,-0.149,0.034,13.80,1.01,,
103,3156,23,5.058,0.041,-0.216,0.075,0.23,0.04,,
104,3240,21,5.030,0.043,-0.248,0.061,1.74,0.74,,
105,3080,14,5.050,0.013,-0.160,0.010,6.26,1.90,,
106,3191,14,5.007,0.047,-0.173,0.063,18.70,1.19,,
107,3081,17,5.050,0.015,-0.160,0.029,0.28,0.06,,
108,3080,0,5.050,0.000,-0.160,0.000,0.28,0.17,,
109,3284,0,4.940,0.000,-0.120,0.000,0.33,0.12,,
110,4928,747,4.547,0.130,-0.362,0.164,20.00,0.00,,
111,5070,344,4.550,0.071,-0.099,0.185,20.00,0.79,,
112,3086,14,5.050,0.005,-0.160,0.012,9.96,0.21,,
113,3080,0,5.050,0.000,-0.160,0.000,0.29,0.12,,
114,3080,0,5.050,0.000,-0.160,0.000,0.17,0.08,,
115,3080,0,5.050,0.000,-0.160,0.000,0.26,0.12,,
116,3184,36,5.056,0.034,-0.247,0.040,0.30,0.15,,
117,3252,15,5.030,0.034,-0.272,0.058,1.86,0.48,,
118,3080,0,5.050,0.000,-0.160,0.000,0.21,0.04,,
119,3080,0,5.050,0.000,-0.160,0.000,0.22,0.10,,
120,3080,1,5.050,0.000,-0.160,0.001,0.12,0.15,,
121,3197,74,5.022,0.067,-0.160,0.099,0.23,0.08,,
122,3080,7,5.050,0.006,-0.160,0.012,0.25,0.10,,
123,3080,0,5.050,0.000,-0.160,0.000,0.24,0.11,,
124,3231,23,5.046,0.036,-0.274,0.053,0.26,0.11,,
125,3080,17,5.050,0.017,-0.160,0.012,15.00,0.39,,
126,3278,6,4.925,0.023,-0.034,0.063,1.14,0.42,,
127,3096,21,5.050,0.018,-0.160,0.029,5.63,0.62,,
128,3080,0,5.050,0.000,-0.160,0.000,0.31,0.03,,
129,3080,0,5.050,0.000,-0.160,0.000,10.70,0.34,,
130,3174,34,4.999,0.042,-0.143,0.069,8.84,0.47,,
131,3218,0,5.070,0.000,-0.300,0.000,0.26,0.14,,
132,3080,0,5.050,0.000,-0.160,0.000,1.46,0.76,,
133,3171,25,5.060,0.057,-0.213,0.111,0.20,0.08,,
134,3090,19,5.050,0.012,-0.160,0.028,0.30,0.05,,
135,3220,35,5.000,0.060,-0.183,0.116,0.24,0.06,,
136,3080,0,5.050,0.000,-0.160,0.000,0.29,0.15,,
137,3260,25,4.980,0.043,-0.180,0.079,4.97,1.34,,
138,3298,16,4.969,0.021,-0.187,0.059,2.29,0.44,,
139,,,,,,,,,2.61,1.00
140,,,,,,,,,5.18,0.00
141,,,,,,,,,0.30,1.00
142,,,,,,,,,2.44,0.31
143,,,,,,,,,6.13,1.00
144,,,,,,,,,3.91,1.00
145,,,,,,,,,0.91,0.63
146,,,,,,,,,4.53,0.59
147,,,,,,,,,1.06,0.00
148,,,,,,,,,1.15,1.00
149,,,,,,,,,13.07,1.00
150,,,,,,,,,0.56,0.00
151,,,,,,,,,0.51,0.00
152,,,,,,,,,0.49,0.00
153,,,,,,,,,0.43,0.52
